no,shopname,localname,code1,codename1,code2,codename2,code3,codename3,code4,codename4,citycode,city,gucode,gu,dongcode,dong,jibuaddress,address,oldpostcode,postcode,lng,lat
22917064,기와집,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",26,부산광역시,26470,연제구,2647010200,연산동,"부산광역시 연제구 연산동 708-9","부산광역시 연제구 월드컵대로111번길 10",611080,47596,""129.082162389221"",""35.1839759885682""
22940106,신안세탁,,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,"가정용 세탁업",11,서울특별시,11260,중랑구,1126010400,묵동,"서울특별시 중랑구 묵동 381","서울특별시 중랑구 공릉로2라길 15",131767,2036,""127.081313840024"",""37.6128583220703""
22963710,홍림헤어라인,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,26,부산광역시,26470,연제구,2647010200,연산동,"부산광역시 연제구 연산동 1262-5","부산광역시 연제구 월드컵대로73번길 51",611080,47598,""129.081036657132"",""35.181047521946""
22964392,동아리퍼머대학,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,26,부산광역시,26410,금정구,2641010700,구서동,"부산광역시 금정구 구서동 1009-29","부산광역시 금정구 두실로45번길 21",609802,46228,""129.086092621636"",""35.2606212231797""
22691830,삼환문구점,,D,소매,D04,취미/오락관련소매,D04A01,완구점,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11530,구로구,1153010700,개봉동,"서울특별시 구로구 개봉동 470","서울특별시 구로구 남부순환로95길 54",152753,8336,""126.854695295919"",""37.4950215398807""
22946095,금성탕내이용원,,F,생활서비스,F01,이/미용/건강,F01A04,남성미용실,S96111,이용업,26,부산광역시,26470,연제구,2647010200,연산동,"부산광역시 연제구 연산동 398-10","부산광역시 연제구 과정로226번길 13",611080,47565,""129.102502119763"",""35.1884887520288""
22832515,우리해양,,D,소매,D04,취미/오락관련소매,D04A13,수족관,G47852,"애완용 동물 및 관련용품 소매업",26,부산광역시,26470,연제구,2647010200,연산동,"부산광역시 연제구 연산동 374-46","부산광역시 연제구 고분로 135-2",611080,47556,""129.097393185987"",""35.1857949461471""
22852222,잉글리쉬무무,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11215,광진구,1121510900,군자동,"서울특별시 광진구 군자동 345","서울특별시 광진구 군자로 85-1",143840,5002,""127.070938507282"",""37.550911304281""
22844800,공신학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,"일반 교과 학원",11,서울특별시,11215,광진구,1121510900,군자동,"서울특별시 광진구 군자동 134-30","서울특별시 광진구 동일로 274",143839,5000,""127.071931030291"",""37.555748737309""
22862257,금산진고려홍삼,,D,소매,D10,건강/미용식품,D10A04,건강식품판매,G47216,"건강보조식품 소매업",11,서울특별시,11710,송파구,1171010500,석촌동,"서울특별시 송파구 석촌동 275-4","서울특별시 송파구 송파대로37길 38",138846,5696,""127.107934374183"",""37.5005932811359""
