name,bizcode,address,dongcode,dong
맥커뮤니케이션,22,서울특별시 강남구 신사동 511-6번지 범원빌딩 202 ,11680,신사동
클릭,22,서울특별시 강남구 신사동 511-9번지 ,11680,신사동
GS칼덱스(주)직영 삼성로점,22,서울특별시 강남구 삼성동 119-18번지 ,11680,삼성동
SK넥트웍스(주)삼성주유소,22,서울특별시 강남구 삼성동 128-17번지 ,11680,삼성동
덴트닥터칼라,22,서울특별시 강남구 신사동 628-6번지 ,11680,신사동
현대오일뱅크(주)직영 한양주유소,22,서울특별시 강남구 신사동 638번지 ,11680,신사동
코션코리아역삼,22,서울특별시 강남구 역삼동 834-68번지 ,11680,역삼동
강남제일세차장,22,서울특별시 강남구 율현동 113-1번지 외 1필지 A동 ,11680,율현동
준준모터스,22,서울특별시 강남구 역삼동 830-2번지 ,11680,역삼동
김용희주얼리,22,서울특별시 강남구 신사동 566-34번지 금성빌딩 2층 ,11680,신사동
래빗컴,22,서울특별시 강남구 신사동 540-9번지 2층 ,11680,신사동
아이온,22,서울특별시 강남구 신사동 511-7번지 정원빌딩 3층 ,11680,신사동
(주)이지엔,22,서울특별시 강남구 신사동 544-17번지 ,11680,신사동
GS칼덱스(주)직영 삼성로점,22,서울특별시 강남구 삼성동 119-18번지 ,11680,삼성동
뷰아트,22,서울특별시 강남구 신사동 560번지 ,11680,신사동
(주)민컴플러스,22,서울특별시 강남구 신사동 540-11번지 ,11680,신사동
굴렁쇠,22,서울특별시 강남구 신사동 549-9번지 제 2층 7호 ,11680,신사동
제이드,22,서울특별시 강남구 신사동 550-9번지 ,11680,신사동
다넷미디어(주),22,서울특별시 강남구 신사동 555-13번지 동명빌딩 2층 ,11680,신사동
애드웰,22,서울특별시 강남구 신사동 560-6번지 2층 ,11680,신사동
한보주얼리,22,서울특별시 강남구 신사동 554-2번지 대세빌딩 2층 ,11680,신사동
하빈,22,서울특별시 강남구 신사동 555-24번지 1층 ,11680,신사동
(주)바즈라,22,서울특별시 강남구 신사동 615-1번지 ,11680,신사동
(사)삼성생명공익재단 삼성서울병원,22,서울특별시 강남구 일원동 50번지 ,11680,일원동
주식회사 맥바겐,22,서울특별시 강남구 대치동 906-19번지 ,11680,대치동
(주)이수그래픽,22,서울특별시 강남구 신사동 519-2번지 소망프라자 1층 ,11680,신사동
엘앤티모터스(주),22,서울특별시 강남구 논현동 225-5번지 ,11680,논현동
한신공방,22,서울특별시 강남구 신사동 615-1번지 코끼리상가 3층 301호 ,11680,신사동
우리공방,22,서울특별시 강남구 신사동 577-9번지 영인빌딩 301-C ,11680,신사동
유스,22,서울특별시 강남구 신사동 627-22번지 (2층) ,11680,신사동
씨씨엠광고(주),22,서울특별시 강남구 신사동 629-1번지 ,11680,신사동
신사조각,22,서울특별시 강남구 신사동 613번지 ,11680,신사동
루체,22,서울특별시 강남구 신사동 660-17번지 로데오스타 B동 110호 ,11680,신사동
가나보석,22,서울특별시 강남구 신사동 595-1번지 안국빌딩 (지하) ,11680,신사동
하늘출력,22,서울특별시 강남구 신사동 511-6번지 범원빌딩 201호,11680,신사동
엠아이그래픽,22,서울특별시 강남구 신사동 510-11번지 2층 221-3호 ,11680,신사동
현대오토피아 삼성점,22,서울특별시 강남구 삼성동 44-13번지 ,11680,삼성동
제이컴,22,서울특별시 강남구 신사동 507-7번지 하이즈빌딩 5층 ,11680,신사동
예하프로세스,22,서울특별시 강남구 신사동 506번지 ,11680,신사동
픽셀아트,22,서울특별시 강남구 신사동 502번지 동남빌딩 2층 ,11680,신사동
포토라이프,22,서울특별시 강남구 신사동 665-6번지 ,11680,신사동
뮤제,22,서울특별시 강남구 신사동 665-1번지 ,11680,신사동
미랑,22,서울특별시 강남구 신사동 607-5번지 ,11680,신사동
보명사,22,서울특별시 강남구 신사동 616-2번지 ,11680,신사동
로빈,22,서울특별시 강남구 신사동 617-2번지 ,11680,신사동
다뉴예,22,서울특별시 강남구 신사동 617-2번지 대웅빌딩 203 ,11680,신사동
한교법인성광학원,22,서울특별시 강남구 역삼동 606-13번지 ,11680,역삼동
현대오토피아 삼성점,22,서울특별시 강남구 삼성동 44-13번지 ,11680,삼성동
(주)차바이오앤디오스텍,22,서울특별시 강남구 역삼동 606-16번지  605번지 21호 ,11680,역삼동
(주)해움미디어,22,서울특별시 강남구 신사동 536-1번지 명성빌딩 2층 ,11680,신사동
신사출력,22,서울특별시 강남구 신사동 526-7번지 크라운빌딩 3층 ,11680,신사동
(주)에이치아이이티,22,서울특별시 강남구 신사동 532-11번지 ,11680,신사동
(주)애드샵컴퍼니,22,서울특별시 강남구 신사동 520번지 동양빌딩 지하1층 ,11680,신사동
천보석,22,서울특별시 강남구 신사동 577-9번지 ,11680,신사동
미승,22,서울특별시 강남구 신사동 576-1번지 동아빌딩 303호 ,11680,신사동
강남한양교정,22,서울특별시 강남구 신사동 536-19번지 1층 ,11680,신사동
(주)그라픽스,22,서울특별시 강남구 신사동 536-19번지 ,11680,신사동
(주)한국커뮤니케이션,22,서울특별시 강남구 신사동 523-14번지 라재빌딩 202호,11680,신사동
(주)파트너파트너즈,22,서울특별시 강남구 신사동 526-8번지 양지빌딩 2층 ,11680,신사동
현대하이모터스,21,서울특별시 강남구 개포동 1193-10번지 ,11680,개포동
(주)현대포미자동차,21,서울특별시 강남구 개포동 1212-8번지 ,11680,개포동
조영자동차공업사,21,서울특별시 강남구 개포동 1214-9번지 ,11680,개포동
성일자동차공업사,21,서울특별시 강남구 개포동 1246-4번지 ,11680,개포동
도선여객(주),21,서울특별시 강남구 개포동 565번지 ,11680,개포동
(주)르노삼성자동차지정정비센터 대치정비,21,서울특별시 강남구 대치동 889-69번지 ,11680,대치동
강남자동차공업사,21,서울특별시 강남구 수서동 725-2번지 ,11680,수서동
(주)수서광평공업사,21,서울특별시 강남구 수서동 725-3번지 ,11680,수서동
SK네트웍스(주)오토조이주유소,22,서울특별시 강남구 청담동 131-17번지 ,11680,청담동
아크로스타모터스(주) 크라이슬러강남서비스센터,21,서울특별시 강남구 역삼동 703-6번지 ,11680,역삼동
(주)강남제일모터스,21,서울특별시 강남구 역삼동 824-15번지 ,11680,역삼동
(주)르노삼성자동차 역삼센터,21,서울특별시 강남구 역삼동 824-5 6번지 ,11680,역삼동
리츠모터스,21,서울특별시 강남구 역삼동 832-27번지 ,11680,역삼동
동신정비공업(주),21,서울특별시 강남구 역삼동 735-35번지 ,11680,역삼동
엘앤티모터스(주),21,서울특별시 강남구 논현동 225-5번지 ,11680,논현동
사)삼성생명공익재단 삼성서울병원,21,서울특별시 강남구 일원동 50번지 ,11680,일원동
(주)동아지질(한전전력구공사),22,서울특별시 강남구 논현동 238-1번지 ,11680,논현동
조운건설(주),22,서울특별시 강남구 역삼동 800번지 ,11680,역삼동
타프코리아,22,서울특별시 강남구 도곡동 515-1번지 ,11680,도곡동
(주)동아지질,22,서울특별시 강남구 논현동 봉은사로 일대 915공구(사무실:논현동 237-6 태광빌딩 301호) ,11680,논현동
현대산업개발(주),22,서울특별시 강남구 삼성동 160번지 ,11680,삼성동
조운건설(주),22,서울특별시 강남구 삼성동 12-1번지 (도로) ,11680,삼성동
SK네트웍스(주)오토조이주유소,22,서울특별시 강남구 청담동 131-17번지 ,11680,청담동
로데오주유소,22,서울특별시 강남구 청담동 98-8번지 ,11680,청담동
(주)잠실에너지 명품주유소,22,서울특별시 강남구 역삼동 785-17번지 18 23호 ,11680,역삼동
서울자동차서비스,21,서울특별시 강남구 역삼동 703-9번지 ,11680,역삼동
(주)쌍용영동정비사업소,21,서울특별시 강남구 역삼동 825-20번지 ,11680,역삼동
(주)일양토건,22,서울특별시 강남구 삼성동 171번지 ,11680,삼성동
대아레저산업(주),22,서울특별시 강남구 삼성동 111-114번지 (도) ,11680,삼성동
코션코리아역삼,22,서울특별시 강남구 역삼동 834-68번지 ,11680,역삼동
현대오일뱅크(주)직영 한양주유소,22,서울특별시 강남구 신사동 638번지 ,11680,신사동
덴트닥터칼라,22,서울특별시 강남구 신사동 628-6번지 ,11680,신사동
애니카랜드 논현점,22,서울특별시 강남구 청담동 120-2번지 ,11680,청담동
오일시티,22,서울특별시 강남구 도곡동 411-22번지 ,11680,도곡동
오일시티,22,서울특별시 강남구 도곡동 411-22번지 ,11680,도곡동
덴트닥터칼라,22,서울특별시 강남구 신사동 628-6번지 ,11680,신사동
세곡그린손세차,22,서울특별시 강남구 세곡동 21-3번지 ,11680,세곡동
